Adventure Map,,,,
B-4,Defeat the Disorderly Forces! Lv.5,Volga,,1
B-5,Defeat all Giant Bosses in time! Lv.2,anyone,,2+
B-6,Use a Magic Circle to defeat the enemy forces! Lv.1,Fi or Linkle,,1
B-7,Team up and defeat the enemy forces! Lv.5,Ghirahim,,1
B-8,Protect the Bombchu! Lv.4,Midna or Zant,,1
B-9,Learn the key to a balanced attack! Lv.4,anyone,,unknown
B-10,Put an end to the enemy's divisive plan! Lv.5,anyone,,unknown
B-11,Team up and defeat the enemy forces! Lv.7,Impa or King Daphnes,,1
C-1,Team up and defeat enemy forces! Lv.8,Zelda or Midna,,1
C-2,Defeat the Barrier Specialist Forces! Lv.2,Link,Hylian Sword,2+
C-3,Learn the key to a balanced attack! Lv.6,Zelda,,1
C-4,Protect the bombchu! Lv.6,Fi or Ghirahim,,1
C-5,Defeat the commanders of two armies! Lv.1,anyone,,unknown
C-6,Watch out! All attacks are devastating! Lv.2,Fi,,1
C-7,Put an end to the enemy's divisive plan! Lv.4,anyone,,unknown
C-8,Defeat the disorderly forces! Lv.4,Zant or Tetra,,1
C-9,Team up and defeat the enemy forces! Lv.4,anyone,,unknown
C-10,Behold the power of teamwork!,Agitha or Cia,,2+
C-11,Protect the Bombchu! Lv.7,Zelda or Lana,,1
C-12,Put an end to the enemy's divisive plan! Lv.7,anyone,,unknown
D-1,Defeat the Wizard Forces!,Cia or Wizzro,,1
D-2,Team up and defeat the enemy forces! Lv.6,Midna or Lana,,1
D-3,Put an end to the enemy's divisive plan! Lv.6,Zant or Lana,,1
D-4,Defeat the commanders of two armies! Lv.2,Tetra,,1
D-5,Fight as a warrior of water or lightning!,Link,Spinner,1
D-6,Defeat the barrier specialist forces! Lv.3,Linkle,,1
D-7,Final battle! Defeat the dragon of the lake!,Agitha or Midna,,2+
D-8,Defeat the mountain beast!,Zelda or Impa,,2+
D-9,Learn the key to a balanced attack! Lv.7,Ganondorf,,1
D-10,Defeat the barrier specialist forces! Lv.1,anyone,,2+
D-11,Final battle! Defeat the beast of the temple!,anyone,,2+
D-12,Fight as a warrior of light! Lv.2,Cia or Zelda,,1
D-13,Put an end to the enemy's divisive plan! Lv.1,anyone,,unknown
D-14,Team up and defeat the enemy forces! Lv.1,Zelda or Twili Midna,,1
E-1,Put an end to the enemy's divisive plan! Lv.8,Link,Magic Rod,1
E-2,Protect the bombchu! Lv.8,Zelda,,1
E-3,A collision of cuccos! Lv.6,Lana,Spear,2+
E-4,Rescue the allied forces!,Midna,,1
E-5,Final battle! Defeat the Demon King of the castle!,anyone,,unknown
E-6,"Defeat 1,000 enemies in time!",Link or Darunia,,2+
E-7,Learn the key to a balanced attack! Lv.3,Impa,,1
E-8,Defeat the disorderly forces! Lv.2,anyone,,unknown
E-9,Rack up your KO count! Lv.2,anyone,,2+
E-10,Team up and defeat the enemy forces! Lv.2,Darunia or Ruto,,1
E-11,Defeat 400 enemies in time!,anyone,,2+
E-12,Recruit more allies and overwhelm the enemy!,anyone,,2+
E-13,Final battle! Defeat the beast of the jungle!,anyone,,2+
E-14,Protect the Bombchu!,Lana,,1
F-1,Learn the key to a balanced attack! Lv.5,anyone,,unknown
F-2,Defeat the Disorderly Forces! Lv.6,Cia or Impa,,1
F-3,Protect the bombchu! Lv.9,Link or Ganondorf,,1
F-4,Put an end to the enemy's divisive plan! Lv.9,anyone,,unknown
F-5,A leader never sleeps!,King Daphnes,,2+
F-6,Destroy the army with boosted morale! Lv.2,Toon Link,,1
F-7,Protect the Bombchu! Lv.3,Link,,1
F-8,Put an end to the enemy's divisive plan! Lv.2,anyone,,unknown
F-9,Enjoy a leisurely Cucco-outing!,anyone,,2+
F-10,Destroy the army with boosted morale! Lv.1,Wizzro or Skull Kid,,1
F-11,Defeat all Giant Bosses in time! Lv.1,Ruto or Darunia,,2+
F-12,Destroy enemies and traitors alike!,Sheik or Tingle,,1
F-13,Defeat the disorderly forces! Lv.1,Lana,,1
F-14,Show no fear to the enemies of Twilight!,Midna,,1
F-15,Learn the key to a balanced attack! Lv.1,anyone,,unknown
G-2,Team up and defeat the enemy forces! Lv.9,anyone,,unknown
G-3,Adventure Battle:The hunters are on the move!,anyone,,unknown
G-4,Destroy enemies and traitors alike!,Ganondorf or Cia,,1
G-5,Defeat the disorderly forces! Lv.7,Link,Gauntlets,1
G-6,Learn the key to a balanced attack! Lv.8,Ganondorf,,1
G-7,Guard the allied keeps with your life! Lv.1,anyone,,unknown
G-8,Stop the fortifiers and barrier specialists!,Impa,Giant Blade,1
G-9,Learn the key to a balanced attack! Lv.2,anyone,,unknown
G-10,Put an end to the enemy's divisive plan! Lv.3,anyone,,unknown
G-11,Rack up your KO count! Lv.1,anyone,,2+
H-3,Learn the key to a balanced attack! Lv.9,anyone,,unknown
H-4,Defeat the warriors of twilight!,Ganondorf,Great Swords,1
H-5,Team up and defeat the enemy forces! Lv.3,anyone,,unknown
H-6,Calm dissenters and crush your foe!,Ruto or Darunia,,1
H-7,Final battle! Defeat the dragon of the volcano!,anyone,,2+
H-8,Protect the Bombchu! Lv.2,anyone,,unknown
H-9,Defeat the disorderly forces! Lv.3,Darunia or Young Link,,1
H-10,Watch out! All attacks are devastating! Lv.1,anyone,,unknown
Termina Map,,,,
Square,Mission,Must play as,Weapon required,Character slots
A-1,Defeat the disorderly forces! Lv.2,Young Link,,1
A-2,Defeat the barrier specialist forces!,anyone,,2+
A-3,Yesterday's foes are today's allies!,not observed,,unknown
A-7,Final battle! Defeat the dragon of the temple!,anyone,,unknown
A-8,Defeat 700 enemies before the Rogue Forces do! ! Lv.2,anyone,,2+
A-9,"Will you fall, or will you bloom?",Lana or Volga,,2+
A-10,Team up and defeat the enemy forces! Lv.2,anyone,,unknown
A-11,Defeat 700 enemies before the Rogue Forces do! Lv.1,Impa or Zant,,2+
A-12,Win the Rupee competition! Lv.4,anyone,,2+
A-13,Final battle! Defeat the dragon of the valley!,anyone,,unknown
A-14,Defeat the disorderly forces! Lv.1,Twili Midna,,1
B-1,Get to the troops before the others do! Lv.7,Ganondorf,Trident,1
B-2,Final battle! Defeat the Demon King of the moon!,not observed,,unknown
B-3,Win the KO competition! Lv.9,anyone,,2+
B-6,Win the Rupee competition! Lv.7,Skull Kid,,1
B-7,Get to those troops before the others do! Lv.3,Link,Great Fairy,1
B-8,Win the KO competition! Lv.5,Zant or Tingle,,2+
B-9,Win the Rupee competition! Lv.5,Sheik or Tingle,,2+
B-10,Fight through the mask quiz! Lv.1,Darunia or Wizzro,,1
B-11,Win the keep-capturing competition! Lv.4,anyone,,unknown
B-12,Don't ignore the messenger!,Wizzro or Cia,,1
B-13,Defeat all enemies! Lv.2,Midna or Skull Kid,,1
C-1,Win the keep-capturing competition! Lv.7,Zelda or Sheik,,1
C-2,Win the Rupee competition! Lv.9,Link or Darunia,,2+
C-3,"Defeat 1,000 enemies before the Rogue Forces do! Lv.2",not observed,,unknown
C-6,Final battle! Defeat the beast of the bay!,Fi,,1
C-7,Beware the ghost's blade!,Impa,Giant Blade,1
C-8,Watch out! All attacks are devastating! Lv.2,anyone,,unknown
C-9,Enjoy this house of horrors!,anyone,,unknown
C-10,Win the KO competition! Lv.4,Agitha,,2+
C-11,Defeat all Giant Bosses in time! Lv.2,Agitha or King Daphnes,,2+
C-12,Watch out! All attacks are devastating! Lv.3,anyone,,unknown
C-13,Fight as a warrior of water!,anyone,,unknown
C-14,Team up and defeat the enemy forces! Lv.5,Volga or Linkle,,1
C-15,"Lurking treachery, lurking shadows!",Wizzro,,1
D-5,Win the keep-capturing competition! Lv.5,anyone,,unknown
D-6,Team up and defeat the enemy forces! Lv.3,Ganondorf or Tetra,,1
D-7,Win the KO competition! Lv.6,anyone,,2+
D-8,Defeat 700 enemies before the Rogue Forces do! Lv.3,anyone,,2+
D-9,Win the Rupee competition! Lv.2,anyone,,2+
D-10,Get to those troops before the others do! Lv.1,anyone,,unknown
D-11,Win the KO competition! Lv.1,anyone,,2+
D-12,Team up and defeat the enemy forces! Lv.4,not observed,,unknown
D-13,Win the KO competition! Lv.8,not observed,,unknown
D-14,Sword-fighting practice!,anyone,,unknown
D-15,"Defeat 1,000 enemies before the Rogue Forces do! Lv.1",not observed,,unknown
D-16,Get to those troops before the others do! Lv.6,Lana,Summoning Gate,1
E-5,Guard the allied keeps with your life! Lv.2,anyone,,unknown
E-6,Help those in need!,anyone,,2+
E-7,FIght through the mask quiz! Lv.2,Tetra or Toon Link,,1
E-8,The Cucco army rises once more!,Ghirahim,,1
E-9,Win the keep-capturing competition! Lv.1,anyone,,unknown
E-10,Defeat 400 enemies before the Rogue Forces do! Lv.1,anyone,,2+
E-11,Search the battlefield for wandering enemies!,anyone,,unknown
E-12,Win the KO competition! Lv.7,not observed,,unknown
E-13,Win the Rupee competition! Lv.8,Zelda,,2+
E-14,Final battle! Defeat the beast of the castle!,not observed,,unknown
E-15,Win the keep-capturing competition! Lv.6,not observed,,unknown
F-5,Rouse the troops with encouraging words!,anyone,,unknown
F-6,Get to those troops before the others do! Lv.5,Ghirahim,,1
F-7,Get to those troops before the others do! Lv.4,Cia,,1
F-8,Win the Rupee competition! Lv.6,Cia,,2+
F-9,Win the KO competition! Lv.2,not observed,,unknown
F-10,Win the Rupee competition! Lv.1,not observed,,unknown
F-11,Defeat all Giant Bosses in time! Lv.1,anyone,,2+
F-12,Win the KO competition! Lv.3,anyone,,2+
F-13,Send the ghosts packing!,Zelda,Baton,1
F-14,Defeat 400 enemies before the Rogue Forces do! Lv.3,anyone,,2+
F-15,Final battle! Defeat the beast of the canyon!,anyone,,2+
G-4,Defeat the ocean beast!,anyone,,unknown
G-5,Rouse the troops with encouraging words!,anyone,,2+
G-6,Defeat 700 enemies before the Rogue Forces do! Lv.4,Link or Fi,,2+
G-9,Defeat all enemies! Lv.1,not observed,,unknown
G-10,Defeat 400 enemies before the Rogue Forces do! Lv.2,not observed,,unknown
G-11,Get to those troops before the others do! Lv.2,not observed,,unknown
G-12,Watch out! All attacks are devastating! Lv.1,anyone,,unknown
G-13,Guard the allied keeps with your life! Lv.1,Sheik or Tingle,,1
G-14,Use diversionary tactics to defeat the enemy! Lv.2,Ruto,,2+
H-7,Win the keep-capturing competition! Lv.2,Darunia,,1
H-8,Defeat the forest dragon!,Link,Epona,1
H-9,Win the Rupee competition! Lv.3,Sheik or Tingle,,2+
H-10,Use diversionary tactics to defeat the enemy! Lv.1,not observed,,unknown
H-11,Team up and defeat the enemy forces! Lv.1,not observed,,unknown
H-12,Final battle! Defeat the beast of the swamp!,anyone,,2+
H-13,Win the keep-capturing competition! Lv.3,Sheik,,1
Koholint Island Map,,,,
Square,Mission,Must play as,Weapon required,Character slots
A-1,Final battle! Defeat the dragon of Turtle Rock!,Young Link,,1
A-2,Fight through the musical quiz!,anyone,,unknown
A-3,"Defeat 1,000 enemies in time!",Ganondorf,Trident,2+
A-4,Stop the enemy merger! Lv.10,anyone,,2+
A-5,Destroy enemies and traitors alike! Lv.3,anyone,,unknown
A-6,Fight the chosen ones!,anyone,,unknown
A-7,Cleft in twain! A detachment cuts through!,Link or Marin,,2+
A-8,Fight as a warrior of fire!,anyone,,unknown
A-9,Defeat enemies and traitors alike! Lv.2,Midna,,1
A-10,Defeat the shuffling forces! Lv.10,anyone,,2+
A-11,Fight through the women's weapons quiz!,anyone,,unknown
A-12,Stop the enemy merger! Lv.7,anyone,,2+
A-13,Final battle! Defeat the bird of the tower!,anyone,,unknown
A-14,The kings' armies march on!,Link,Gauntlets,2+
B-1,Defeat the shuffling forces! Lv.13,anyone,,2+
B-2,Rescue the allied forces! Lv.3,King Daphnes,,2+
B-3,Cleft in twain! A detachment cuts through!,Fi,,1
B-4,Defeat the warriors of Skyloft! Lv.2,anyone,,2+
B-5,Defeat the warriors of time! Lv.2,Zelda,Baton,1
B-6,Stop the enemy merger! Lv.13,anyone,,2+
B-7,Stop the enemy merger! Lv.11,Ganondorf,Great Swords,2+
B-8,Stop the enemy merger! Lv.12,anyone,,2+
B-9,Stop the enemy merger! Lv.6,anyone,,2+
B-10,Fight the heroes of the Wind Waker!,Darunia,,1
B-11,Team up and defeat the enemy forces! Lv.3,Toon Link,,1
B-12,Defeat the warriors of Twilight! Lv.2,Marin,,1
B-13,Defeat the shuffling forces! Lv.12,anyone,,2+
B-14,Join the Rogue Forces to defeat the enemy!,Lana,Summoning Gate,2+
C-1,Defeat the shuffling forces! Lv.5,anyone,,2+
C-2,Defeat the shuffling forces! Lv.3,Young Link,,2+
C-3,Team up and defeat the enemy forces! Lv.2,anyone,,unknown
C-4,Final battle! Defeat the beast of Bottle Grotto!,Marin,,1
C-5,Defeat all Giant Bosses in time! Lv.2,Darunia,,2+
C-6,Defeat the shuffling forces! Lv.7,Zant,,2+
C-7,Rescue the allied forces! Lv.2,anyone,,2+
C-8,Defeat the commanders of two armies! Lv.2,Agitha,,1
C-9,Use diversionary tactics to defeat the enemy!,anyone,,unknown
C-10,Join the Rogue Forces to defeat the enemy!,Marin,,2+
C-11,Final battle! Defeat the dragon of the cliff!,anyone,,2+
C-12,Get to those troops before the others do! Lv.2,Ruto,,2+
C-13,Defeat the enemy forces!,anyone,,unknown
C-14,A ride on the wild rapids!,anyone,,2+
D-1,Take on the warriors of Majora's Mask! Lv.1,Sheik,,1
D-2,Defeat the shuffling forces! Lv.4,anyone,,2+
D-3,Defeat 500 enemies in time!,Tingle,,2+
D-4,Fight through the legendary warrior quiz!,anyone,,unknown
D-5,Final battle! Defeat the lakeside beast!,anyone,,2+
D-6,Defeat all enemies! Lv.1,anyone,,unknown
D-7,Battle the dancing dead!,Midna,,2+
D-8,Stop the enemy merger! Lv.4,anyone,,2+
D-9,Fight through the vehicle quiz!,anyone,,unknown
D-10,Defeat all enemies!,anyone,,unknown
D-11,Defeat 600 enemies in time!,anyone,,2+
D-12,Final battle! Defeat the shadow of the grotto!,anyone,,unknown
D-13,Stop the enemy merger! Lv.9,anyone,,2+
D-14,Fight as a warrior of water!,anyone,,unknown
E-1,Defeat the warriors of time! Lv.1,anyone,,unknown
E-2,Defeat the shuffling forces! Lv.1,anyone,,2+
E-3,Stop the enemy merger! Lv.1,anyone,,2+
E-4,Stop the enemy merger! Lv.2,anyone,,2+
E-5,Defeat the commanders of two armies! Lv.1,Tetra,,1
E-6,Stop the enemy merger! Lv.3,Twili Midna,,2+
E-7,Defeat the shuffling forces! Lv.8,anyone,,2+
E-8,Stop the enemy merger! Lv.5,anyone,,2+
E-9,Defeat the warriors of skyloft! Lv.1,Ghirahim,,1
E-10,Defeat the shuffling forces! Lv.9,Fi,,2+
E-11,Defeat the warrriors of Twilight! Lv.1,anyone,,unknown
E-12,Defeat enemies and traitors alike! Lv.1,Linkle,Boots,1
E-13,Defeat all Giant Bosses in time! Lv.3,anyone,,2+
E-14,Take on the warriors of Majora's Mask! Lv.2,anyone,,2+
F-1,Defeat the shuffling forces! Lv.2,anyone,,2+
F-2,Defeat all Giant Bosses in time! Lv.1,anyone,,2+
F-3,Final battle! Defeat the dragon of the hill!,anyone,,2+
F-4,Team up and defeat the enemy forces! Lv.1,Lana,,1
F-5,Capture the enemy keeps!,anyone,,unknown
F-6,Defeat the shuffling forces! Lv.6,Ruto,,2+
F-7,Rescue the allied forces! Lv.1,Linkle,,2+
F-8,Defeat the commanders of two armies! Lv.3,Linkle,Boots,1
F-9,Final battle! Defeat the cavern beast!,anyone,,unknown
F-10,Defeat all enemies! Lv.3,anyone,,unknown
F-11,Stop the enemy merger! Lv.8,Zelda,Baton,2+
F-12,Defeat the warriors of Twilight! Lv.2,anyone,,2+
F-13,Defeat the shuffling forces! Lv.11,anyone,,2+
F-14,Get to those troops before the others do! Lv.1,anyone,,unknown
Grand Travels Map,,,,
Square,Mission,Must play as,Weapon required,Character slots
A-1,Put an end to the enemy's divisive plan! Lv.2,anyone,,unknown
A-2,Final battle! Defeat the snowy plains' beast!,anyone,,2+
A-3,Defend the allied keeps! Lv.2,Ghirahim,,2+
A-4,Win the keep-capturing competition! Lv.2,Toon Link,Sand Wand,2+
A-5,Defeat all Giant Bosses in time! Lv.3,anyone,,2+
A-6,Fight the heroes of the Wind Waker! Lv.1,anyone,,unknown
A-7,Defeat the Copycat Soldiers! Lv.13,anyone,,2+
A-8,Final battle! Defeat the dragon of the sand castle!,Toon Link,Sand Wand,2+
A-9,Put an end to the enemy's divisive plan! Lv.4,anyone,,unknown
A-10,Final battle! Defeat the beast of the seafloor!,Ghirahim,,2+
A-11,Defeat the army of Big Blins! Lv.2,anyone,,2+
A-12,Take on the warriors of Majora's Mask! Lv.2,Twili Midna,,1
A-13,Stop the Rogue Forces and defeat the enemy! Lv.5,anyone,,2+
A-14,Defeat the enemy forces!,anyone,,unknown
A-15,Defeat all enemies! Lv.4,King Daphnes,,1
A-16,Destroy enemies and traitors alike! Lv.2,anyone,,unknown
B-1,Win the Rupee competition! Lv.2,anyone,,unknown
B-2,Can you become king of the castle!,Lana,,2+
B-3,Thwart the supercharged enemies! Lv.4,anyone,,unknown
B-4,Defeat the Copycat Soldiers! Lv.10,anyone,,unknown
B-5,Final battle! Defeat the giant bird of the Fire Temple!,Cia,,2+
B-6,Put an end to the enemy's divisive plan! Lv.5,anyone,,2+
B-7,Defeat the army of Big Blins! Lv.1,Volga,,1
B-8,Fight through the vehicle quiz!,Ganondorf,,1
B-9,Fight as a warrior of fire!,anyone,,2+
B-10,Thwart the supercharged enemies! Lv.10,anyone,,unknown
B-11,Defeat the army of Big Blins! Lv.2,anyone,,2+
B-12,Defeat the warriors of Skyloft! Lv.2,anyone,,unknown
B-13,Final battle! Defeat the beast of the ruins!,anyone,,2+
B-14,Win the Rupee competition! Lv.5,anyone,,unknown
B-15,Fight as a warrior of light! Lv.3,anyone,,unknown
B-16,Fight the chosen ones! Lv.1,anyone,,unknown
C-1,Defeat the commanders of two armies!,anyone,,unknown
C-2,Defeat the Copycat Soldiers! Lv.4,anyone,,2+
C-3,Defend the allied keeps! Lv.1,Zelda,,2+
C-4,Thwart the supercharged enemies! Lv. 11,Tingle,,2+
C-5,Stop the enemy merger! Lv.2,Zelda,,2+
C-6,Defeat the Dinolfos Forces!,anyone,,unknown
C-7,Thwart the supercharged enemies! Lv.8,anyone,,2+
C-8,Rack up your KO count! Lv.2,anyone,,2+
C-9,Defeat all Giant Bosses in time! Lv.2,anyone,,2+
C-10,Defeat the warriors of Skyloft! Lv.1,anyone,,unknown
C-11,Destroy enemies and traitors alike! Lv.1,anyone,,unknown
C-12,Defeat the Copycat Soldiers! Lv.11,anyone,,2+
C-13,Thwart the supercharged enemies! Lv.13,Ganondorf,,2+
C-14,"An SOS?! Quickly, to the rescue!",Tetra,,1
C-15,Fight as a warrior of light! Lv.2,anyone,,unknown
C-16,Defeat the Copycat Soldiers! Lv.12,Ganondorf,Great Swords,1
D-1,Defeat all Giant Bosses in time! Lv.1,Darunia,,1
D-2,Final battle! Defeat the beast of the great tree!,Toon Link,,1
D-3,Win the keep-capturing competition! Lv.1,Zelda,Baton,2+
D-4,Defeat the warriors of Twilight! Lv.2,anyone,,unknown
D-5,Defeat the Aeralfos Forces! Lv.2,anyone,,2+
D-6,Put an end to the enemy's divisive plan! Lv.3,anyone,,2+
D-7,Thwart the supercharged enemies! Lv.14,Linkle,,1
D-8,Final battle! Defeat the bird of the deep!,anyone,,2+
D-9,Fight through the traveling hero quiz!,anyone,,unknown
D-10,Put an end to the enemy's divisive plan! Lv.8,anyone,,unknown
D-11,Put an end to the enemy's divisive plan! Lv.7,anyone,,unknown
D-12,Defeat all enemies! Lv.2,Ruto,,1
D-13,Defeat the warriors of time! Lv.2,anyone,,unknown
D-14,Team up and defeat the enemy forces! Lv.2,anyone,,unknown
D-15,Defeat the shuffling forces! Lv.2,Zelda,,1
D-16,Final battle! Defeat the beast of the iceberg!,anyone,,unknown
E-1,Take on the warriors of Majora's Mask! Lv.1,anyone,,unknown
E-2,Stop the enemy merger! Lv.1,anyone,,unknown
E-3,Fight through the mystery mastery quiz!,anyone,,unknown
E-4,Defeat the barrier specialist forces! Lv.1,Midna,,2+
E-5,Thwart the supercharged enemies! Lv.7,Link,Magic Rod,2+
E-6,Win the Rupee competition! Lv.3,anyone,,2+
E-7,Final battle! Defeat the demon king in the castle!,Toon Link or Toon Zelda,,1
E-8,Defeat the barrier specialist forces! Lv.2,anyone,,2+
E-9,Defeat the Copycat Soldiers! Lv.14,anyone,,2+
E-10,Final battle! Defeat the beast of the temple!,anyone,,unknown
E-11,Defeat the Copycat Soldiers! Lv.1,anyone,,2+
E-12,Get to those troops before the others do! Lv.2,Zelda,Baton,1
E-13,Defeat all enemies! Lv.3,anyone,,unknown
E-14,Stop the enemy's recruitment efforts!,Wizzro,,1
E-15,Defeat the Copycat Soldiers! Lv.9,anyone,,unknown
E-16,Thwart the supercharged enemies! Lv.9,anyone,,unknown
F-1,Put an end to the enemy's divisive plan! Lv.6,Wizzro,,1
F-2,Defeat the Copycat Soldiers! Lv.3,anyone,,2+
F-3,Stop the Rogue Forces and defeat the enemy! Lv.2,anyone,,2+
F-4,Thwart the supercharged enemies! Lv.5,Zant,,2+
F-5,Take the steam out of their engines!,Cia,,1
F-6,Thwart the supercharged enemies! Lv.6,anyone,,2+
F-7,Defeat the Aeralfos Forces! Lv.1,anyone,,unknown
F-8,Thwart the supercharged enemies! Lv.3,anyone,,unknown
F-9,Defeat the warriors of time! Lv.1,Impa,,1
F-10,Defeat the Gibdo Forces!,Tingle,,1
F-11,Put an end to the enemy's divisive plan! Lv.1,anyone,,unknown
F-12,Thwart the supercharged enemies! Lv.2,Lana,,2+
F-13,Defeat the disorderly forces! Lv.2,Ganondorf,Trident,1
F-14,Defeat the Copycat Soldiers! Lv.8,Tingle,,1
F-15,Win the KO competition! Lv.2,anyone,,unknown
F-16,Fight as a warrior of light! Lv.1,Toon Zelda,,1
G-1,Fight as a warrior of lightning!,anyone,,2+
G-2,Defeat all Giant Bosses in time!,anyone,,unknown
G-3,Rack up your KO count! Lv.1,Lana,,2+
G-4,Defeat the warriors of Twilight! Lv.1,anyone,,2+
G-5,Stop the Rogue Forces and defeat the enemy! Lv.3,anyone,,unknown
G-6,Defeat the Copycat Soldiers! Lv.7,anyone,,unknown
G-7,Defeat the Copycat Soldiers! Lv.6,Toon Zelda,,1
G-8,Defeat the Copycat Soldiers! Lv.5,Midna,,1
G-9,Final battle! Defeat the beast of the cave!,anyone,,unknown
G-10,Defeat all enemies! Lv.1,not observed,,unknown
G-11,Win the KO competition! Lv.1,Ruto,,1
G-12,Stop the Rogue Forces and defeat the enemy! lv.1,anyone,,2+
G-13,Team up and defeat the enemy forces! Lv.1,anyone,,unknown
G-14,Defeat the Copycat Soldiers! Lv.8,Fi,,2+
G-15,Final battle! Defeat the beast of the mountain!,anyone,,unknown
G-16,Thwart the supercharged enemies! Lv.12,not observed,,unknown
H-1,Final battle! Defeat the shadow in the dark den!,Volga,,2+
H-2,Rack up your KO count! Lv.1,Sheik,,1
H-3,Defeat the Copycat Soldiers! Lv.2,anyone,,unknown
H-4,Thwart the supercharged enemies! Lv.1,anyone,,2+
H-5,Win the Rupee competition! Lv.4,anyone,,2+
H-6,Get to those troops before the others do! Lv.1,anyone,,unknown
H-7,Final battle! Defeat the dragon of the distant seas!,Toon Zelda,,2+
H-8,Defeat the shuffling forces! Lv.1,Agitha,,2+
H-9,Fight through the forgetful foe quiz!,anyone,,unknown
H-10,Final battle! Defeat the beast of the secret island!,anyone,,2+
H-11,Defeat the disorderly forces! Lv.3,anyone,,unknown
H-12,Win the Rupee competition! Lv.1,anyone,,unknown
H-13,Final battle! Defeat the beast of the eternal fire!,Toon Zelda,,1
H-14,Fight the heroes of the Wind Waker! Lv.2,anyone,,unknown
H-15,Fight through the action quiz!,anyone,,unknown
H-16,Stop the Rogue Forces and defeat the enemy! Lv.4,anyone,,2+
Lorule Map,,,,
Square,Mission,Must play as,Weapon required,Character slots
A-1,Defeat the Lizalfos Forces!,Ravio,,1
A-2,Scour the battlefield in pursuit of victory! Lv.8,anyone,,unknown
A-3,Get more allied keeps and defeat the enemy! Lv.2,anyone,,unknown
A-4,Defeat the Fiery Aeralfos Forces! Lv.1,anyone,,unknown
A-5,Final battle! Defeat the beast in the Tower of Hera!,anyone,,unknown
A-6,Stop the Rogue Forces and defeat the enemy! Lv.2,anyone,,2+
A-7,Defeat the shuffling forces! Lv.3,anyone,,2+
A-8,Get more allied keeps and defeat the enemy! Lv.3,Ganondorf,Great Swords,2+
A-9,Defeat the warriors of Skyloft! Lv.1,Yuga,,2+
A-10,Final battle! Defeat the beast in the Skull Woods!,Fi,,1
A-11,Defeat the disorderly forces! Lv.3,Link,Hylian Sword,1
A-12,Fight the heroes of the Wind Waker! Lv.1,Zelda,Dominion Rod,2+
A-13,Defeat all enemies! Lv.2,anyone,,unknown
A-14,Scout the battlefield in pursuit of victory! Lv.9,anyone,,2+
A-15,Defeat the enemy forces!,anyone,,unknown
A-16,Final battle! Defeat the beast of the Ice Ruins!,Ghirahim,,2+
B-1,Stop the enemy merger! Lv.3,Cia,,1
B-2,Defeat the shuffling forces! Lv.2,anyone,,2+
B-3,Team up and defeat the enemy forces! Lv.2,Ghirahim,,1
B-4,Defeat the ReDead Knight Forces!,Zelda,,1
B-5,Watch out! All attacks are devastating! Lv.2,anyone,,unknown
B-6,Hunt down and defeat your foes! Lv.6,Zelda,Baton,1
B-7,Scour the battlefield in pursuit of victory! Lv.10,anyone,,unknown
B-8,Defeat the warriors of time! Lv.2,not observed,,unknown
B-9,Destroy enemies and traitors alike! Lv.1,anyone,,unknown
B-10,Put an end to the enemy's divisive plan! Lv.2,anyone,,unknown
B-11,Hunt down and defeat your foes! Lv.5,anyone,,2+
B-12,Use diversionary tactics to defeat the enemy! Lv.2,anyone,,2+
B-13,Defeat all Giant Bosses in time! Lv.2,anyone,,2+
B-14,A hyper-focused army unit advances!,anyone,,unknown
B-15,Hunt down and defeat your foes! Lv.8,anyone,,unknown
B-16,Put an end to the enemy's divisive plan! Lv.6,anyone,,unknown
C-1,Battlefield chaos! Territory tug-of-war!,anyone,,2+
C-2,Scour the battlefield in pursuit of victory! Lv.5,anyone,,2+
C-3,Stop the enemy merger! Lv.2,Zant,,2+
C-4,Defeat the warriors of time! Lv.1,Yuga,,1
C-5,Scour the battlefield in pursuit of victory! Lv.3,anyone,,2+
C-6,Destroy the army with boosted morale! Lv.1,anyone,,unknown
C-7,Defeat the shuffling forces! Lv.1,anyone,,2+
C-8,Thwart the supercharged enemies! Lv.4,Twili Midna,,2+
C-9,Hunt down and defeat your foes! Lv.4,Fi,,2+
C-10,Rescue the allied forces!,anyone,,unknown
C-11,Defeat the Copycat Soldiers! Lv.3,anyone,,unknown
C-12,Defeat the Stalmaster Forces!,Lana,Book of Sorcery,2+
C-13,Put an end to the enemy's divisive plan! Lv.5,Ganondorf,Trident,1
C-14,Defeat the Copycat Soldiers! Lv.4,anyone,,2+
C-15,Defeat the army of Big Blins!,Toon Link,Light Sword,2+
C-16,Use diversionary tactics to defeat the enemy! Lv.3,Midna,,2+
D-1,Capture the enemy keeps! Lv.1,Agitha,,1
D-2,Defeat the Darknut Forces! Lv.2,anyone,,unknown
D-3,Team up and destroy the enemy forces! Lv.1,anyone,,unknown
D-4,Hunt down and defeat your foes! Lv.2,anyone,,unknown
D-5,Final battle! Defeat the giant shadow in Hyrule Castle!,anyone,,unknown
D-6,Defeat the warriors of Skyloft! Lv.2,anyone,,unknown
D-7,Defeat the Stone Moblin Forces!,Zelda,Baton,2+
D-8,Defeat the Stone Moblin Forces!,anyone,,unknown
D-9,The perfect land-grab scheme!,anyone,,unknown
D-10,Defeat the dragon in the wastelands!,Linkle,,1
D-11,Defeat the Big Poe Forces!,anyone,,2+
